TrakPro Version 4.61 ASCII Data File

Model:	DustTrak DRX
Model Number:	8533
Serial Number:	8533150607
Test ID:	001
Test Abbreviation:	TEST 2WITT_001
Start Date:	26-02-2023
Start Time:	19:43:13
Duration (dd:hh:mm:ss):	0:00:20:00
Log Interval (mm:ss):	00:01
Number of points:	1200
Notes:	

Statistics	Channel:	PM1	PM2.5	RESP	PM10	TOTAL
	Units:	mg/m^3	mg/m^3	mg/m^3	mg/m^3	mg/m^3
	Average:	0.182	0.183	0.183	0.185	0.189
	Minimum:	0.133	0.134	0.135	0.135	0.135
	Time of Minimum:	20:02:06	20:02:04	20:01:32	20:02:03	20:02:03
	Date of Minimum:	26-02-2023	26-02-2023	26-02-2023	26-02-2023	26-02-2023
	Maximum:	0.284	0.286	0.288	0.288	0.539
	Time of Maximum:	19:43:52	19:43:52	19:43:52	19:43:52	19:43:14
	Date of Maximum:	26-02-2023	26-02-2023	26-02-2023	26-02-2023	26-02-2023

Calibration	Sensor:	AEROSOL
	Cal. date	05-02-2015

Date	Time	PM1	PM2.5	RESP	PM10	TOTAL
dd-MM-yyyy	hh:mm:ss	mg/m^3	mg/m^3	mg/m^3	mg/m^3	mg/m^3
26-02-2023	19:43:14	0.236	0.237	0.238	0.244	0.539
26-02-2023	19:43:15	0.244	0.246	0.247	0.252	0.300
26-02-2023	19:43:16	0.235	0.236	0.237	0.243	0.331
26-02-2023	19:43:17	0.233	0.234	0.236	0.248	0.289
26-02-2023	19:43:18	0.236	0.238	0.239	0.247	0.247
26-02-2023	19:43:19	0.237	0.238	0.239	0.241	0.241
26-02-2023	19:43:20	0.239	0.241	0.241	0.244	0.244
26-02-2023	19:43:21	0.239	0.241	0.242	0.249	0.249
26-02-2023	19:43:22	0.233	0.235	0.237	0.241	0.241
26-02-2023	19:43:23	0.234	0.236	0.237	0.241	0.242
26-02-2023	19:43:24	0.237	0.239	0.240	0.243	0.257
26-02-2023	19:43:25	0.233	0.234	0.236	0.237	0.265
26-02-2023	19:43:26	0.232	0.234	0.235	0.239	0.253
26-02-2023	19:43:27	0.237	0.239	0.239	0.241	0.292
26-02-2023	19:43:28	0.237	0.239	0.240	0.241	0.264
26-02-2023	19:43:29	0.234	0.236	0.237	0.238	0.238
26-02-2023	19:43:30	0.235	0.237	0.238	0.241	0.241
26-02-2023	19:43:31	0.235	0.237	0.238	0.247	0.247
26-02-2023	19:43:32	0.232	0.234	0.235	0.238	0.238
26-02-2023	19:43:33	0.229	0.231	0.231	0.233	0.233
26-02-2023	19:43:34	0.230	0.232	0.232	0.233	0.233
26-02-2023	19:43:35	0.235	0.237	0.238	0.240	0.240
26-02-2023	19:43:36	0.237	0.239	0.242	0.243	0.243
