Date,Slot No.,RefSt,Sensor_O3,Temp,RelHum
16-12-2021,SLOT-13,14.89844828,42.81818182,42.93793103,25.9862069
16-12-2021,SLOT-14,14.49133333,37.10169492,37.21666667,30.165
16-12-2021,SLOT-15,13.16067797,35.30508475,36.05762712,31.4779661
16-12-2021,SLOT-17,20.80610169,45.22807018,34.9,35.98813559
16-12-2021,SLOT-18,31.322,60.3559322,34.765,43.97666667
16-12-2021,SLOT-19,39.39866667,64.44067797,33.30166667,50.605
16-12-2021,SLOT-20,42.873,65.52542373,32.04333333,53.43833333
16-12-2021,SLOT-21,42.91666667,64.79661017,31.62333333,54.14
16-12-2021,SLOT-22,45.02266667,65.20338983,31.16666667,55.3
16-12-2021,SLOT-22,45.02266667,65.20338983,31.16666667,55.3
16-12-2021,SLOT-24,56.30333333,73.67241379,30.60833333,58.25666667
17-12-2021,SLOT-1,64.42016949,76.96551724,29.95423729,60.57966102
17-12-2021,SLOT-2,67.05366667,74.27586207,29.94666667,60.86
17-12-2021,SLOT-3,64.11816667,66.3220339,29.69166667,61.87833333
17-12-2021,SLOT-4,50.49983333,62.47457627,29.56,58.51166667
17-12-2021,SLOT-5,55.48833333,66.77966102,28.98833333,59.33333333
17-12-2021,SLOT-6,60.87966667,70.52542373,28.65,59.60833333
17-12-2021,SLOT-7,64.057,72.37288136,28.21,60.68
17-12-2021,SLOT-8,39.45683333,65.77586207,28.315,52.635
17-12-2021,SLOT-9,30.4685,63.11864407,31.965,43.34166667
17-12-2021,SLOT-10,26.13066667,59.72881356,36.865,35.71166667
17-12-2021,SLOT-11,21.44283333,49.38983051,40.06666667,28.85166667
17-12-2021,SLOT-12,17.942,47.16949153,42.47333333,25.71
17-12-2021,SLOT-13,16.86542373,44.63333333,45.69491525,21.29661017
17-12-2021,SLOT-14,22.951,44.75438596,37.58833333,28.70666667
17-12-2021,SLOT-15,18.14816667,36.29310345,36.69,25.82833333
17-12-2021,SLOT-16,20.38533333,45.06779661,36.78833333,28.43333333
17-12-2021,SLOT-17,20.32881356,39.06896552,35.85254237,29.93050847
17-12-2021,SLOT-18,25.76183333,36.29310345,33.20666667,39.59333333
17-12-2021,SLOT-19,33.16833333,45.06779661,30.28166667,46.045
17-12-2021,SLOT-20,35.27683333,39.06896552,29.82,50.21833333
17-12-2021,SLOT-21,38.81016667,72.48,29.76833333,50.95333333
17-12-2021,SLOT-22,37.75366667,68,30.43333333,49.99833333
17-12-2021,SLOT-22,37.75366667,68,30.43333333,49.99833333
17-12-2021,SLOT-24,41.25716667,58.50847458,28.76333333,55.675
18-12-2021,SLOT-1,37.53508475,54.10344828,28.40677966,54.57457627
