Date,Slot No.,AVG PM1,AVG PM2.5,AVG PM10,Temp,RH,,,
16/12/2021,SLOT-12,14.878125,19.6296875,30.530625,43.165625,26.61875,,,
16/12/2021,SLOT-13,14.89844828,19.67931034,29.97137931,42.93793103,25.9862069,42.81818182,73.13636364,82.90909091
16/12/2021,SLOT-14,14.49133333,19.35216667,27.22766667,37.21666667,30.165,37.10169492,65.40677966,75.57627119
16/12/2021,SLOT-15,13.16067797,17.69525424,25.93355932,36.05762712,31.4779661,35.30508475,62.71186441,74.27118644
16/12/2021,SLOT-16,12.1355,16.4035,23.975,35.47,0,34.31034483,60.9137931,73.34482759
16/12/2021,SLOT-17,20.80610169,28.92423729,43.05271186,34.9,35.98813559,45.22807018,78.54385965,86.26315789
16/12/2021,SLOT-18,31.322,44.45183333,63.76083333,34.765,43.97666667,60.3559322,102.4745763,110.8983051
16/12/2021,SLOT-19,39.39866667,57.53983333,77.64466667,33.30166667,50.605,64.44067797,111.4576271,121.7288136
16/12/2021,SLOT-20,42.873,63.7715,84.154,32.04333333,53.43833333,65.52542373,114.1355932,126.1694915
16/12/2021,SLOT-21,42.91666667,63.5225,80.43733333,31.62333333,54.14,64.79661017,111.3898305,121.2542373
16/12/2021,SLOT-22,45.02266667,67.2985,84.2445,31.16666667,55.3,65.20338983,112.7966102,123.3220339
16/12/2021,SLOT-22,45.02266667,67.2985,84.2445,31.16666667,55.3,65.20338983,112.7966102,123.3220339
16/12/2021,SLOT-24,56.30333333,93.25916667,121.2806667,30.60833333,58.25666667,73.67241379,128.1034483,141.4482759
17/12/2021,SLOT-1,64.42016949,113.5866102,146.3481356,29.95423729,60.57966102,76.96551724,135.7241379,149.5862069
17/12/2021,SLOT-2,67.05366667,119.586,150.587,29.94666667,60.86,74.27586207,132.2931034,147.6724138
17/12/2021,SLOT-3,64.11816667,111.1598333,137.1325,29.69166667,61.87833333,66.3220339,119.2881356,133.7966102
17/12/2021,SLOT-4,50.49983333,80.25166667,101.7443333,29.56,58.51166667,62.47457627,111.4067797,123.5762712
17/12/2021,SLOT-5,55.48833333,92.79666667,121.4301667,28.98833333,59.33333333,66.77966102,118.6271186,131.9830508
17/12/2021,SLOT-6,60.87966667,104.2741667,131.3631667,28.65,59.60833333,70.52542373,127.6101695,144.0338983
17/12/2021,SLOT-7,64.057,113.5278333,140.8081667,28.21,60.68,72.37288136,128.559322,144.1355932
17/12/2021,SLOT-8,39.45683333,58.49733333,76.13566667,28.315,52.635,65.77586207,114.6724138,126.4655172
17/12/2021,SLOT-9,30.4685,42.55166667,60.57766667,31.965,43.34166667,63.11864407,106.4745763,115.5084746
17/12/2021,SLOT-10,26.13066667,35.82783333,55.82033333,36.865,35.71166667,59.72881356,96.23728814,104.1525424
17/12/2021,SLOT-11,21.44283333,28.41666667,43.46883333,40.06666667,28.85166667,49.38983051,79.83050847,87.11864407
17/12/2021,SLOT-12,17.942,24.0455,39.03483333,42.47333333,25.71,47.16949153,73.88135593,80.61016949
17/12/2021,SLOT-13,16.86542373,21.85,33.94220339,45.69491525,21.29661017,44.63333333,70.3,77.68333333
17/12/2021,SLOT-14,22.951,33.86166667,47.49016667,37.58833333,28.70666667,44.75438596,77.31578947,87.61403509
17/12/2021,SLOT-15,18.14816667,23.85483333,33.99566667,36.69,25.82833333,36.29310345,61.87931034,73.13793103
17/12/2021,SLOT-16,20.38533333,28.12233333,45.65966667,36.78833333,28.43333333,45.06779661,74.98305085,84.22033898
17/12/2021,SLOT-17,20.32881356,27.91661017,43.98559322,35.85254237,29.93050847,39.06896552,69.37931034,76.79310345
17/12/2021,SLOT-18,25.76183333,35.657,53.9305,33.20666667,39.59333333,0,0,0
17/12/2021,SLOT-19,33.16833333,47.4115,65.38283333,30.28166667,46.045,0,0,0
17/12/2021,SLOT-20,35.27683333,51.54533333,69.129,29.82,50.21833333,0,0,0
17/12/2021,SLOT-21,38.81016667,58.20333333,80.9175,29.76833333,50.95333333,72.48,123.8,135.84
17/12/2021,SLOT-22,37.75366667,56.988,81.74183333,30.43333333,49.99833333,68,115.4576271,126.2711864
17/12/2021,SLOT-22,37.75366667,56.988,81.74183333,30.43333333,49.99833333,68,115.4576271,126.2711864
17/12/2021,SLOT-24,41.25716667,62.3645,78.23,28.76333333,55.675,58.50847458,102.3559322,113.3559322
18/12/2021,SLOT-1,37.53508475,55.6540678,70.21423729,28.40677966,54.57457627,54.10344828,95,104.1034483
18/12/2021,SLOT-2,32.18566667,45.72333333,57.56733333,28.205,49.835,52.42372881,92.84745763,101.9661017
18/12/2021,SLOT-3,31.83733333,45.04683333,57.51516667,27.72666667,47.985,54.38983051,95.03389831,103.9830508
18/12/2021,SLOT-4,32.60583333,46.08283333,58.07333333,27.49833333,46.95833333,54.76271186,97.27118644,106.5932203
18/12/2021,SLOT-5,33.63766667,47.91216667,59.87483333,27.23,46.40666667,53.88135593,96.57627119,106.1355932
18/12/2021,SLOT-6,34.69916667,49.57866667,61.9755,26.925,46.51666667,52.62711864,95.61016949,105.4576271
18/12/2021,SLOT-7,36.37766667,52.34216667,65.85033333,26.3,47.91666667,53.28813559,96.6440678,106.7457627
18/12/2021,SLOT-8,33.921,48.33483333,61.67616667,26.74,46.34166667,51.37288136,93.84745763,104.1355932
18/12/2021,SLOT-9,27.89166667,39.17666667,60.824,30.275,39.18666667,47.94915254,85.08474576,94.62711864
18/12/2021,SLOT-10,24.9435,33.661,47.82566667,34.93666667,33.63666667,46.5862069,79.15517241,86.03448276
18/12/2021,SLOT-11,21.44,27.74241379,39.34568966,40.46206897,26.64827586,44.26666667,72.7,80.28333333
18/12/2021,SLOT-12,16.42666667,20.5805,29.68633333,46.60333333,17.58666667,42.62711864,66.47457627,74.83050847
18/12/2021,SLOT-13,17.44666667,21.80683333,33.11833333,47.56166667,16.165,40.39655172,64.0862069,74
18/12/2021,SLOT-14,18.593,24.0975,35.88183333,39.15,25.14,37.6779661,63.91525424,74.71186441
18/12/2021,SLOT-15,18.04833333,23.177,33.649,37.685,26.35666667,35.89830508,61.23728814,73.10169492
18/12/2021,SLOT-16,18.14633333,23.2155,34.77833333,36.6,26.68333333,36.37288136,61.94915254,73.06779661
18/12/2021,SLOT-17,18.31666667,23.72166667,35.06683333,36.06833333,28.305,36.38983051,61.98305085,73.18644068
18/12/2021,SLOT-18,20.00383333,26.5115,43.173,35.865,31.835,39.52542373,68.13559322,77.33898305
18/12/2021,SLOT-19,24.78666667,34.31633333,56.42816667,33.28,38.90833333,50.08474576,84.96610169,91.88135593
18/12/2021,SLOT-20,31.13716667,46.09816667,69.9245,32.08166667,42.98166667,61.72881356,104.6779661,115.4915254
18/12/2021,SLOT-21,33.20833333,50.77283333,78.1355,31.34666667,44.57,60.44067797,103.5932203,114.9661017
18/12/2021,SLOT-22,30.77516667,44.64216667,65.4015,30.13333333,47.77833333,55.70689655,96.39655172,105.5344828
18/12/2021,SLOT-22,30.77516667,44.64216667,65.4015,30.13333333,47.77833333,55.70689655,96.39655172,105.5344828
18/12/2021,SLOT-24,28.51266667,40.19266667,56.15566667,28.22,45.99,55.44067797,94.42372881,103.5084746
19/12/2021,SLOT-1,28.20915254,39.75067797,54.57711864,27.6,45.51864407,56.5862069,96.87931034,105.637931
19/12/2021,SLOT-2,26.313,36.67083333,51.0695,27.46333333,43.14333333,55.74576271,95.15254237,104.3559322
19/12/2021,SLOT-3,27.82533333,38.92583333,53.0575,27.10666667,43.13166667,59.6779661,100.7627119,109.4067797
19/12/2021,SLOT-4,26.951,37.609,52.05916667,26.645,42.05166667,60.96610169,102.8135593,112.220339
19/12/2021,SLOT-5,28.89233333,40.77583333,54.872,25.825,44.63666667,60.45762712,102.779661,112.3389831
19/12/2021,SLOT-6,27.35683333,38.36766667,52.60066667,25.66,43.665,58.54237288,100.0847458,109.5423729
19/12/2021,SLOT-7,25.35916667,35.43066667,48.198,25.72666667,41.96,52.15254237,90.42372881,99.84745763
19/12/2021,SLOT-8,25.91183333,36.52066667,50.66733333,25.73833333,42.89166667,52.93220339,92.22033898,101.0169492
19/12/2021,SLOT-9,21.38266667,29.10933333,40.92,30.18666667,34.665,44.77966102,76.88135593,84.62711864
19/12/2021,SLOT-10,19.13233333,25.4055,37.29366667,36.055,27.15666667,40.77966102,69.57627119,78.22033898
19/12/2021,SLOT-11,16.51433333,21.5555,32.5655,41.72333333,21.42,39.08474576,62.93220339,73.72881356
19/12/2021,SLOT-12,14.38,18.561,29.1305,45.90166667,17.225,39.12068966,61.67241379,72.22413793
19/12/2021,SLOT-13,14.84355932,18.69932203,29.70881356,48.90847458,14.53220339,38.74576271,60.76271186,71.69491525
19/12/2021,SLOT-14,18.72283333,24.47166667,37.7915,37.18666667,24.49166667,38.62711864,66.01694915,76.50847458
19/12/2021,SLOT-15,17.44966667,23.02116667,36.31383333,37.41166667,24.865,36.43103448,62.86206897,74
19/12/2021,SLOT-16,16.42116667,21.69316667,37.42133333,37.995,24.71166667,36.3220339,61.52542373,73.11864407
19/12/2021,SLOT-17,15.7415,20.91466667,35.913,37.425,25.58166667,35.10169492,58.88135593,72
19/12/2021,SLOT-18,25.46883333,35.16433333,57.95766667,35.35666667,37.53666667,55.98305085,79.42372881,94.23728814
