YEAR,MO,DY,HR,T2M,RH2M,WS2M,WD2M,
2021,12,1,5,20.13,96.06,1.27,92.12,12/1/2021
2021,12,1,6,20.11,95.38,1.23,89.64,12/1/2021
2021,12,1,7,20.4,94.44,1.43,86.25,12/1/2021
2021,12,1,8,21.12,93,1.63,90.55,12/1/2021
2021,12,1,9,22.27,90.31,1.78,97.81,12/1/2021
2021,12,1,10,23.65,85.62,1.84,104.04,12/1/2021
2021,12,1,11,24.58,82.38,1.75,113.37,12/1/2021
2021,12,1,12,25.16,81.06,1.59,122.99,12/1/2021
2021,12,1,13,25.48,80.94,1.36,131.96,12/1/2021
2021,12,1,14,25.23,83.94,1.02,141.82,12/1/2021
2021,12,1,15,24.73,89.19,0.66,153.13,12/1/2021
2021,12,1,16,24.2,93.5,0.41,156.37,12/1/2021
2021,12,1,17,23.61,95.44,0.21,192.99,12/1/2021
2021,12,1,18,23.37,94.06,0.17,228.81,12/1/2021
2021,12,1,19,23.23,94.12,0.12,273.81,12/1/2021
2021,12,1,20,23.02,94.69,0.13,287.35,12/1/2021
2021,12,1,21,22.75,95.69,0.18,267.51,12/1/2021
2021,12,1,22,22.52,96.31,0.22,270,12/1/2021
2021,12,1,23,22.33,96.62,0.26,292.75,12/1/2021
2021,12,2,0,22.18,96.62,0.36,310.6,12/2/2021
2021,12,2,1,21.99,96.81,0.41,325.1,12/2/2021
2021,12,2,2,21.88,96.31,0.44,338.01,12/2/2021
2021,12,2,3,21.81,95.62,0.44,1.02,12/2/2021
2021,12,2,4,21.55,96.06,0.47,37.63,12/2/2021
2021,12,2,5,21.09,96.94,0.56,63.43,12/2/2021
2021,12,2,6,20.71,97.94,0.56,86.78,12/2/2021
2021,12,2,7,21.81,97.62,0.97,105.38,12/2/2021
2021,12,2,8,22.93,96.38,1.12,121.58,12/2/2021
2021,12,2,9,24.01,93,1.04,138.04,12/2/2021
2021,12,2,10,24.99,86.69,0.94,155.56,12/2/2021
2021,12,2,11,25.69,80.75,0.94,172.82,12/2/2021
2021,12,2,12,26.11,78.44,0.96,186.08,12/2/2021
2021,12,2,13,26.19,78.38,0.98,197.57,12/2/2021
2021,12,2,14,26.03,79.75,1.02,203.83,12/2/2021
2021,12,2,15,25.69,81.88,0.98,208.21,12/2/2021
2021,12,2,16,25.01,86.94,0.77,211.76,12/2/2021
2021,12,2,17,23.72,94.88,0.39,216.87,12/2/2021
2021,12,2,18,22.76,97.56,0.44,219.94,12/2/2021
2021,12,2,19,22.46,98.19,0.52,213.93,12/2/2021
2021,12,2,20,22.38,97.81,0.52,213.93,12/2/2021
2021,12,2,21,22.48,96.81,0.42,218.16,12/2/2021
2021,12,2,22,22.44,96.25,0.28,220.43,12/2/2021
2021,12,2,23,22.31,95.88,0.15,273.01,12/2/2021
2021,12,3,0,22.08,95.94,0.33,337.69,12/3/2021
2021,12,3,1,21.9,95.94,0.38,18.06,12/3/2021
2021,12,3,2,21.57,96.25,0.43,76.22,12/3/2021
2021,12,3,3,21.11,97,0.54,98.37,12/3/2021
2021,12,3,4,20.83,97.19,0.58,90,12/3/2021
2021,12,3,5,20.55,97.62,0.62,86.38,12/3/2021
2021,12,3,6,20.26,98.44,0.56,94.03,12/3/2021
2021,12,3,7,21.38,97.62,0.69,97.21,12/3/2021
2021,12,3,8,22.51,95.69,0.69,107.2,12/3/2021
2021,12,3,9,23.62,92.25,0.64,130.53,12/3/2021
2021,12,3,10,24.59,87.19,0.65,156.53,12/3/2021
2021,12,3,11,25.44,82.06,0.7,183.81,12/3/2021
2021,12,3,12,26.05,79.06,0.8,205.32,12/3/2021
2021,12,3,13,26.65,77,0.9,220.76,12/3/2021
2021,12,3,14,26.76,76.5,0.92,228.45,12/3/2021
2021,12,3,15,26.38,78.25,0.9,233.43,12/3/2021
2021,12,3,16,25.51,84.56,0.74,243.17,12/3/2021
2021,12,3,17,24.01,93.81,0.43,255.2,12/3/2021
2021,12,3,18,22.75,97.75,0.41,263.42,12/3/2021
2021,12,3,19,22.18,99.06,0.47,270,12/3/2021
2021,12,3,20,21.8,99.62,0.57,278.69,12/3/2021
2021,12,3,21,21.62,99.44,0.62,287.74,12/3/2021
2021,12,3,22,21.44,99.06,0.65,295.02,12/3/2021
2021,12,3,23,21.3,98.69,0.67,301.08,12/3/2021
2021,12,4,0,21.19,98.25,0.66,305.38,12/4/2021
2021,12,4,1,21.11,98,0.65,311.12,12/4/2021
2021,12,4,2,20.99,97.81,0.65,316.94,12/4/2021
2021,12,4,3,20.89,97.62,0.65,323.82,12/4/2021
2021,12,4,4,20.84,97.31,0.65,334.98,12/4/2021
2021,12,4,5,20.73,97.19,0.65,348.83,12/4/2021
2021,12,4,6,20.72,96.88,0.65,4.82,12/4/2021
2021,12,4,7,21.81,96.19,0.8,14.17,12/4/2021
2021,12,4,8,23.26,93.38,0.58,22.09,12/4/2021
2021,12,4,9,24.83,85.75,0.26,30.38,12/4/2021
2021,12,4,10,26.37,76.81,0.29,226.08,12/4/2021
2021,12,4,11,27.19,72.62,0.65,232.85,12/4/2021
2021,12,4,12,27.55,71,0.83,237.65,12/4/2021
2021,12,4,13,27.49,71.31,0.96,239.68,12/4/2021
2021,12,4,14,27.18,72.56,1.04,239.18,12/4/2021
2021,12,4,15,26.52,75.69,1.02,239.11,12/4/2021
2021,12,4,16,25.6,81.81,0.85,241.56,12/4/2021
2021,12,4,17,24.06,90.75,0.5,247.04,12/4/2021
2021,12,4,18,22.75,95.88,0.48,256.87,12/4/2021
