Alpha_Sensor,Winsen,Temp,RelHum
30.530625,95.9,43.165625,26.61875
29.97137931,95.7,42.93793103,25.9862069
27.22766667,96.35,37.21666667,30.165
25.93355932,96.35,36.05762712,31.4779661
23.975,94.95,35.47,31.4779661
43.05271186,68.84848485,34.9,35.98813559
63.76083333,83.89830508,34.765,43.97666667
77.64466667,92.46666667,33.30166667,50.605
84.154,95.9,32.04333333,53.43833333
80.43733333,95.7,31.62333333,54.14
84.2445,96.35,31.16666667,55.3
84.2445,96.35,31.16666667,55.3
121.2806667,110.3666667,30.60833333,58.25666667
146.3481356,117.6896552,29.95423729,60.57966102
137.1325,104.7,29.69166667,61.87833333
101.7443333,94.95,29.56,58.51166667
121.4301667,102.1666667,28.98833333,59.33333333
131.3631667,115.55,28.65,59.60833333
140.8081667,114.1333333,28.21,60.68
76.13566667,99.06779661,28.315,52.635
60.57766667,88.26666667,31.965,43.34166667
55.82033333,79.06666667,36.865,35.71166667
43.46883333,64.05,40.06666667,28.85166667
39.03483333,56.25,42.47333333,25.71
33.94220339,50.48979592,45.69491525,21.29661017
47.49016667,61.13559322,37.58833333,28.70666667
33.99566667,47.77586207,36.69,25.82833333
45.65966667,55.43333333,36.78833333,28.43333333
43.98559322,51.80701754,35.85254237,29.93050847
53.9305,70.15,33.20666667,39.59333333
65.38283333,95.68333333,30.28166667,46.045
69.129,91.85,29.82,50.21833333
80.9175,99.35,29.76833333,50.95333333
81.74183333,98.3,30.43333333,49.99833333
81.74183333,98.3,30.43333333,49.99833333
78.23,87.48333333,28.76333333,55.675
70.21423729,79.22033898,28.40677966,54.57457627
57.56733333,75.81666667,28.205,49.835
57.51516667,79.75,27.72666667,47.985
58.07333333,80.25,27.49833333,46.95833333
59.87483333,82.66666667,27.23,46.40666667
61.9755,82.42372881,26.925,46.51666667
65.85033333,82.81666667,26.3,47.91666667
61.67616667,81.31666667,26.74,46.34166667
60.824,71.66666667,30.275,39.18666667
47.82566667,66.25,34.93666667,33.63666667
39.34568966,61.06779661,40.46206897,26.64827586
29.68633333,50.86666667,46.60333333,17.58666667
33.11833333,44.9,47.56166667,16.165
35.88183333,49.05,39.15,25.14
33.649,46.7,37.685,26.35666667
34.77833333,46.73333333,36.6,26.68333333
35.06683333,47.86666667,36.06833333,28.305
43.173,52.28333333,35.865,31.835
56.42816667,66.11666667,33.28,38.90833333
69.9245,86.22033898,32.08166667,42.98166667
78.1355,87.71666667,31.34666667,44.57
65.4015,77.01666667,30.13333333,47.77833333
65.4015,77.01666667,30.13333333,47.77833333
56.15566667,75.55,28.22,45.99
54.57711864,78.16949153,27.6,45.51864407
51.0695,74.5,27.46333333,43.14333333
53.0575,81.2,27.10666667,43.13166667
52.05916667,82.3559322,26.645,42.05166667
54.872,83.61666667,25.825,44.63666667
52.60066667,80.28333333,25.66,43.665
48.198,73.43333333,25.72666667,41.96
50.66733333,74.2,25.73833333,42.89166667
40.92,61.46666667,30.18666667,34.665
37.29366667,55.25,36.055,27.15666667
32.5655,52.16666667,41.72333333,21.42
29.1305,46.30508475,45.90166667,17.225
29.70881356,43.03333333,48.90847458,14.53220339
37.7915,50.68333333,37.18666667,24.49166667
36.31383333,48.8,37.41166667,24.865
37.42133333,47.33333333,37.995,24.71166667
35.913,44.78333333,37.425,25.58166667
57.95766667,70.26666667,35.35666667,37.53666667
67.7915,78.40677966,32.15333333,44.12666667
76.30266667,83.6,30.595,47.66666667
66.12983333,79.21666667,30.36166667,48.22833333
