TrakPro Version 4.61 ASCII Data File

Model:,DustTrak DRX
Model Number:,8533
Serial Number:,8533150607
Test ID:,001
Test Abbreviation:,IIT GOA_001
Start Date:,13-02-2023
Start Time:,12:13:30
Duration (dd:hh:mm:ss):,0:23:58:00
Log Interval (mm:ss):,02:00
Number of points:,719
Notes:,

Statistics,Channel:,PM1,PM2.5,RESP,PM10,TOTAL
,Units:,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
,Average:,0.097,0.099,0.101,0.110,0.121
,Minimum:,0.000,0.000,0.000,0.000,0.000
,Time of Minimum:,12:53:36,12:53:36,12:53:36,12:53:36,12:53:36
,Date of Minimum:,13-02-2023,13-02-2023,13-02-2023,13-02-2023,13-02-2023
,Maximum:,0.439,0.442,0.444,0.453,0.464
,Time of Maximum:,18:35:30,18:35:30,18:35:30,18:35:30,18:35:30
,Date of Maximum:,13-02-2023,13-02-2023,13-02-2023,13-02-2023,13-02-2023

Calibration,Sensor:,AEROSOL
,Cal. date,05-02-2015

Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
dd-MM-yyyy,hh:mm:ss,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
13-02-2023,12:15:30,0.088,0.090,0.092,0.103,0.146
13-02-2023,12:17:30,0.087,0.089,0.091,0.104,0.133
13-02-2023,12:19:30,0.084,0.085,0.087,0.097,0.112
13-02-2023,12:21:30,0.082,0.084,0.086,0.095,0.106
13-02-2023,12:23:30,0.081,0.082,0.084,0.094,0.102
13-02-2023,12:25:30,0.081,0.083,0.085,0.095,0.106
13-02-2023,12:27:30,0.082,0.084,0.086,0.095,0.109
13-02-2023,12:29:30,0.082,0.084,0.086,0.096,0.108
13-02-2023,12:31:30,0.083,0.085,0.087,0.097,0.109
13-02-2023,12:33:30,0.081,0.083,0.085,0.094,0.106
13-02-2023,12:35:30,0.080,0.082,0.084,0.093,0.102
13-02-2023,12:37:30,0.080,0.082,0.084,0.094,0.111
13-02-2023,12:39:30,0.079,0.081,0.082,0.091,0.102
13-02-2023,12:41:30,0.080,0.082,0.084,0.093,0.110
13-02-2023,12:43:30,0.080,0.082,0.084,0.095,0.112
13-02-2023,12:45:30,0.082,0.084,0.086,0.095,0.112
13-02-2023,12:47:30,0.079,0.080,0.082,0.090,0.106
13-02-2023,12:49:30,0.081,0.083,0.085,0.095,0.105
13-02-2023,12:51:30,0.076,0.078,0.080,0.088,0.098
13-02-2023,12:53:36,0.000,0.000,0.000,0.000,0.000
13-02-2023,12:55:30,0.078,0.080,0.082,0.090,0.107
13-02-2023,12:57:30,0.080,0.082,0.084,0.093,0.109
13-02-2023,13:02:06,0.000,0.000,0.000,0.000,0.000
13-02-2023,13:03:30,0.077,0.079,0.081,0.089,0.105
13-02-2023,13:05:30,0.080,0.082,0.084,0.098,0.118
13-02-2023,13:07:30,0.075,0.077,0.079,0.090,0.105
13-02-2023,13:09:30,0.074,0.076,0.078,0.088,0.104
13-02-2023,13:11:30,0.074,0.076,0.078,0.088,0.104
13-02-2023,13:13:30,0.074,0.076,0.078,0.088,0.098
13-02-2023,13:15:30,0.073,0.075,0.077,0.087,0.099
13-02-2023,13:17:30,0.075,0.077,0.079,0.092,0.112
13-02-2023,13:19:30,0.074,0.076,0.078,0.088,0.102
13-02-2023,13:21:30,0.071,0.073,0.075,0.084,0.103
13-02-2023,13:23:30,0.070,0.072,0.073,0.084,0.100
13-02-2023,13:25:30,0.070,0.072,0.073,0.082,0.096
13-02-2023,13:27:30,0.070,0.072,0.073,0.083,0.093
13-02-2023,13:29:30,0.070,0.071,0.073,0.084,0.102
13-02-2023,13:31:30,0.069,0.070,0.072,0.082,0.092
13-02-2023,13:33:30,0.069,0.070,0.072,0.080,0.096
13-02-2023,13:34:45,0.000,0.000,0.000,0.000,0.000
13-02-2023,13:35:30,0.069,0.071,0.072,0.082,0.097
13-02-2023,13:37:30,0.070,0.072,0.074,0.083,0.100
13-02-2023,13:39:30,0.068,0.069,0.071,0.081,0.092
13-02-2023,13:41:30,0.067,0.069,0.071,0.081,0.096
13-02-2023,13:43:30,0.066,0.067,0.069,0.077,0.091
13-02-2023,13:45:30,0.066,0.068,0.070,0.079,0.092
13-02-2023,13:47:30,0.066,0.068,0.070,0.080,0.098
13-02-2023,13:49:30,0.066,0.068,0.070,0.080,0.092
13-02-2023,13:51:30,0.066,0.068,0.069,0.080,0.094
13-02-2023,13:53:30,0.065,0.067,0.068,0.076,0.087
13-02-2023,13:55:30,0.064,0.066,0.067,0.075,0.089
13-02-2023,13:57:30,0.064,0.066,0.067,0.077,0.093
13-02-2023,13:59:30,0.065,0.067,0.068,0.077,0.090
13-02-2023,14:01:30,0.065,0.067,0.069,0.079,0.092
13-02-2023,14:03:30,0.064,0.065,0.067,0.075,0.088
13-02-2023,14:05:30,0.064,0.066,0.067,0.078,0.096
13-02-2023,14:07:30,0.070,0.072,0.075,0.089,0.115
13-02-2023,14:09:30,0.063,0.064,0.066,0.074,0.084
13-02-2023,14:11:30,0.064,0.065,0.067,0.076,0.092
13-02-2023,14:13:30,0.064,0.065,0.067,0.077,0.088
13-02-2023,14:15:30,0.064,0.066,0.067,0.075,0.091
13-02-2023,14:17:30,0.064,0.066,0.068,0.076,0.093
13-02-2023,14:19:30,0.064,0.066,0.068,0.076,0.086
13-02-2023,14:21:30,0.065,0.067,0.068,0.078,0.096
13-02-2023,14:23:30,0.063,0.065,0.067,0.075,0.086
13-02-2023,14:25:30,0.064,0.066,0.067,0.076,0.092
13-02-2023,14:27:30,0.065,0.066,0.068,0.077,0.091
13-02-2023,14:29:30,0.065,0.067,0.068,0.078,0.096
13-02-2023,14:31:30,0.065,0.067,0.068,0.077,0.090
13-02-2023,14:33:30,0.064,0.066,0.067,0.077,0.093
