Date,Slot No.,RefSt,Sensor_O3,Temp,RelHum
16-12-2021,SLOT-13,29.97137931,82.90909091,42.93793103,25.9862069
16-12-2021,SLOT-14,27.22766667,75.57627119,37.21666667,30.165
16-12-2021,SLOT-15,25.93355932,74.27118644,36.05762712,31.4779661
16-12-2021,SLOT-16,23.975,73.34482759,35.47,31.4779661
16-12-2021,SLOT-17,43.05271186,86.26315789,34.9,35.98813559
16-12-2021,SLOT-18,63.76083333,110.8983051,34.765,43.97666667
16-12-2021,SLOT-19,77.64466667,121.7288136,33.30166667,50.605
16-12-2021,SLOT-20,84.154,126.1694915,32.04333333,53.43833333
16-12-2021,SLOT-21,80.43733333,121.2542373,31.62333333,54.14
16-12-2021,SLOT-22,84.2445,123.3220339,31.16666667,55.3
16-12-2021,SLOT-22,84.2445,123.3220339,31.16666667,55.3
16-12-2021,SLOT-24,121.2806667,141.4482759,30.60833333,58.25666667
17-12-2021,SLOT-1,146.3481356,149.5862069,29.95423729,60.57966102
17-12-2021,SLOT-2,150.587,147.6724138,29.94666667,60.86
17-12-2021,SLOT-3,137.1325,133.7966102,29.69166667,61.87833333
17-12-2021,SLOT-4,101.7443333,123.5762712,29.56,58.51166667
17-12-2021,SLOT-5,121.4301667,131.9830508,28.98833333,59.33333333
17-12-2021,SLOT-6,131.3631667,144.0338983,28.65,59.60833333
17-12-2021,SLOT-7,140.8081667,144.1355932,28.21,60.68
17-12-2021,SLOT-8,76.13566667,126.4655172,28.315,52.635
17-12-2021,SLOT-9,60.57766667,115.5084746,31.965,43.34166667
17-12-2021,SLOT-10,55.82033333,104.1525424,36.865,35.71166667
17-12-2021,SLOT-11,43.46883333,87.11864407,40.06666667,28.85166667
17-12-2021,SLOT-12,39.03483333,80.61016949,42.47333333,25.71
17-12-2021,SLOT-13,33.94220339,77.68333333,45.69491525,21.29661017
17-12-2021,SLOT-14,47.49016667,87.61403509,37.58833333,28.70666667
17-12-2021,SLOT-15,33.99566667,73.13793103,36.69,25.82833333
17-12-2021,SLOT-16,45.65966667,84.22033898,36.78833333,28.43333333
17-12-2021,SLOT-17,43.98559322,76.79310345,35.85254237,29.93050847
17-12-2021,SLOT-18,53.9305,73.13793103,33.20666667,39.59333333
17-12-2021,SLOT-19,65.38283333,84.22033898,30.28166667,46.045
17-12-2021,SLOT-20,69.129,76.79310345,29.82,50.21833333
17-12-2021,SLOT-21,80.9175,135.84,29.76833333,50.95333333
17-12-2021,SLOT-22,81.74183333,126.2711864,30.43333333,49.99833333
17-12-2021,SLOT-22,81.74183333,126.2711864,30.43333333,49.99833333
17-12-2021,SLOT-24,78.23,113.3559322,28.76333333,55.675
18-12-2021,SLOT-1,70.21423729,104.1034483,28.40677966,54.57457627
18-12-2021,SLOT-2,57.56733333,101.9661017,28.205,49.835
18-12-2021,SLOT-3,57.51516667,103.9830508,27.72666667,47.985
18-12-2021,SLOT-4,58.07333333,106.5932203,27.49833333,46.95833333
18-12-2021,SLOT-5,59.87483333,106.1355932,27.23,46.40666667
18-12-2021,SLOT-6,61.9755,105.4576271,26.925,46.51666667
18-12-2021,SLOT-7,65.85033333,106.7457627,26.3,47.91666667
18-12-2021,SLOT-8,61.67616667,104.1355932,26.74,46.34166667
18-12-2021,SLOT-9,60.824,94.62711864,30.275,39.18666667
18-12-2021,SLOT-10,47.82566667,86.03448276,34.93666667,33.63666667
18-12-2021,SLOT-11,39.34568966,80.28333333,40.46206897,26.64827586
18-12-2021,SLOT-12,29.68633333,74.83050847,46.60333333,17.58666667
18-12-2021,SLOT-13,33.11833333,74,47.56166667,16.165
18-12-2021,SLOT-14,35.88183333,74.71186441,39.15,25.14
18-12-2021,SLOT-15,33.649,73.10169492,37.685,26.35666667
18-12-2021,SLOT-16,34.77833333,73.06779661,36.6,26.68333333
18-12-2021,SLOT-17,35.06683333,73.18644068,36.06833333,28.305
18-12-2021,SLOT-18,43.173,77.33898305,35.865,31.835
18-12-2021,SLOT-19,56.42816667,91.88135593,33.28,38.90833333
18-12-2021,SLOT-20,69.9245,115.4915254,32.08166667,42.98166667
18-12-2021,SLOT-21,78.1355,114.9661017,31.34666667,44.57
18-12-2021,SLOT-22,65.4015,105.5344828,30.13333333,47.77833333
18-12-2021,SLOT-22,65.4015,105.5344828,30.13333333,47.77833333
18-12-2021,SLOT-24,56.15566667,103.5084746,28.22,45.99
19-12-2021,SLOT-1,54.57711864,105.637931,27.6,45.51864407
19-12-2021,SLOT-2,51.0695,104.3559322,27.46333333,43.14333333
19-12-2021,SLOT-3,53.0575,109.4067797,27.10666667,43.13166667
19-12-2021,SLOT-4,52.05916667,112.220339,26.645,42.05166667
19-12-2021,SLOT-5,54.872,112.3389831,25.825,44.63666667
19-12-2021,SLOT-6,52.60066667,109.5423729,25.66,43.665
19-12-2021,SLOT-7,48.198,99.84745763,25.72666667,41.96
19-12-2021,SLOT-8,50.66733333,101.0169492,25.73833333,42.89166667
19-12-2021,SLOT-9,40.92,84.62711864,30.18666667,34.665
19-12-2021,SLOT-10,37.29366667,78.22033898,36.055,27.15666667
19-12-2021,SLOT-11,32.5655,73.72881356,41.72333333,21.42
19-12-2021,SLOT-12,29.1305,72.22413793,45.90166667,17.225
19-12-2021,SLOT-13,29.70881356,71.69491525,48.90847458,14.53220339
19-12-2021,SLOT-14,37.7915,76.50847458,37.18666667,24.49166667
19-12-2021,SLOT-15,36.31383333,74,37.41166667,24.865
19-12-2021,SLOT-16,37.42133333,73.11864407,37.995,24.71166667
19-12-2021,SLOT-17,35.913,72,37.425,25.58166667
19-12-2021,SLOT-18,57.95766667,94.23728814,35.35666667,37.53666667
19-12-2021,SLOT-19,67.7915,107.7118644,32.15333333,44.12666667
19-12-2021,SLOT-20,76.30266667,114.1355932,30.595,47.66666667
19-12-2021,SLOT-21,66.12983333,107.2881356,30.36166667,48.22833333
19-12-2021,SLOT-22,68.023,101.3050847,29.79333333,49.785
19-12-2021,SLOT-22,68.023,101.3050847,29.79333333,49.785
19-12-2021,SLOT-24,80.326,114.5762712,27.59333333,53.83166667
20-12-2021,SLOT-1,57.899,101.6666667,27.31166667,48.33333333
20-12-2021,SLOT-2,49.55916667,100.8813559,27.33833333,43.40333333
20-12-2021,SLOT-3,52.79783333,117.0338983,26.62666667,43.31666667
20-12-2021,SLOT-4,59.47266667,130.3050847,26.44166667,42.27
20-12-2021,SLOT-5,57.73733333,132.2881356,26.17833333,42.1
20-12-2021,SLOT-6,58.04283333,133.0847458,25.97166667,42.02666667
20-12-2021,SLOT-7,56.60183333,132.8135593,25.73833333,42.43333333
20-12-2021,SLOT-8,57.99783333,130.8813559,26.58833333,41.33666667
20-12-2021,SLOT-9,55.98033333,104.6101695,30.49833333,35.90666667
20-12-2021,SLOT-10,45.493,82.03389831,35.63333333,29.59666667
20-12-2021,SLOT-11,33.30833333,73.63793103,41.81333333,23.54
20-12-2021,SLOT-12,32.2055,71.01694915,44.66333333,21.52833333
20-12-2021,SLOT-13,25.63633333,66.82758621,50.18333333,16.575
20-12-2021,SLOT-14,34.92766667,72.55932203,39.46333333,26.64833333
20-12-2021,SLOT-15,35.84066667,72.81355932,37.06166667,27.215
20-12-2021,SLOT-16,37.84183333,72.72881356,36.18333333,28.75666667
20-12-2021,SLOT-17,40.08416667,76.16949153,34.90166667,30.56333333
20-12-2021,SLOT-18,52.14033333,85.84745763,34.115,40.30333333
20-12-2021,SLOT-19,63.7225,112.8474576,31.95333333,44.905
20-12-2021,SLOT-20,68.00483333,117.5762712,30.97666667,46.41166667
20-12-2021,SLOT-21,66.296,117.8644068,30.44333333,46.78333333
20-12-2021,SLOT-22,78.91383333,121.5423729,29.88666667,48.03666667
20-12-2021,SLOT-22,78.91383333,121.5423729,29.88666667,48.03666667
20-12-2021,SLOT-24,92.31116667,120.9661017,28.38666667,54.11
21-12-2021,SLOT-1,77.86627119,104.7413793,28.06949153,53.95932203
21-12-2021,SLOT-2,63.3825,95,27.66,51.19166667
21-12-2021,SLOT-3,57.66316667,95.05084746,27.63666667,47.99
21-12-2021,SLOT-4,63.3805,104.220339,27.16666667,48.285
21-12-2021,SLOT-5,67.92666667,108.8644068,26.74,47.93
21-12-2021,SLOT-6,70.79016667,112.5254237,26.40666667,48.34333333
21-12-2021,SLOT-7,78.309,131.4237288,26.25666667,47.97166667
21-12-2021,SLOT-8,73.96016667,126.7413793,26.71,46.69333333
21-12-2021,SLOT-9,67.51216667,111.8135593,30.05,39.34166667
21-12-2021,SLOT-10,59.954,99.16949153,34.7,32.12166667
21-12-2021,SLOT-11,45.37633333,84.50847458,39.545,24.92166667
21-12-2021,SLOT-12,40.25866667,78.13559322,42.87333333,20.16333333
21-12-2021,SLOT-13,36.31966667,74.33898305,43.95333333,17.69
21-12-2021,SLOT-14,41.25116667,74.10169492,35.795,25.21333333
21-12-2021,SLOT-15,35.76166667,71.72881356,34.92166667,25.47
21-12-2021,SLOT-16,51.4535,89.42372881,34.565,30.33166667
21-12-2021,SLOT-17,56.00833333,93.79310345,36.12833333,36.05833333
21-12-2021,SLOT-18,66.685,104.0508475,34.55666667,40.43833333
21-12-2021,SLOT-19,72.25116667,110.0851064,32.57333333,45.72166667
21-12-2021,SLOT-20,77.1625,111.8135593,31.055,49.01
21-12-2021,SLOT-21,93.37416667,99.16949153,30.52,50.89666667
21-12-2021,SLOT-22,95.01916667,84.50847458,30.11,51.66666667
21-12-2021,SLOT-22,95.01916667,78.13559322,30.11,51.66666667
21-12-2021,SLOT-24,120.8733333,74.33898305,29.33333333,53.52666667
22-12-2021,SLOT-1,129.9415254,74.10169492,28.03559322,57.73389831
22-12-2021,SLOT-2,125.1563333,71.72881356,27.18,60.015
22-12-2021,SLOT-3,116.3001667,89.42372881,27.085,59.34833333
22-12-2021,SLOT-4,109.8818333,93.79310345,26.71,59.47
22-12-2021,SLOT-5,104.0046667,104.0508475,26.30833333,59.08666667
22-12-2021,SLOT-6,88.549,110.0851064,25.92333333,58.14333333
22-12-2021,SLOT-7,87.111,93.79310345,25.78833333,57.46666667
22-12-2021,SLOT-8,96.37483333,104.0508475,26.40833333,57.685
22-12-2021,SLOT-9,73.38516667,110.0851064,29.39833333,48.88333333
22-12-2021,SLOT-10,66.09383333,92.80701754,34.35166667,38.56666667
22-12-2021,SLOT-11,52.47716667,102.3333333,40.095,27.38666667
22-12-2021,SLOT-12,47.60711864,97.47457627,43.98644068,21.32372881
22-12-2021,SLOT-13,45.84263158,92.80701754,46.89122807,17.92807018
22-12-2021,SLOT-14,45.5075,95.44827586,38.96166667,25.98166667
22-12-2021,SLOT-15,51.09566667,97.01694915,38.285,27.865
22-12-2021,SLOT-16,49.33233333,100.2881356,35.32,29.855
22-12-2021,SLOT-17,54.85066667,100.440678,34.32833333,33.45
22-12-2021,SLOT-18,61.839,119.3414634,34.43333333,39.53666667
22-12-2021,SLOT-19,70.73016667,120.2931034,31.93166667,44.30833333
22-12-2021,SLOT-20,92.05416667,137.5084746,30.675,48.98166667
